1, And the winner by KO... YONG PHILLIPS, 1-0-0, 0-1-0
112, It's a Draw!!, 0-0-1, 0-0-1
113, And the winner by KO... MALIK GREEN, 0-2-0, 1-0-0
114, And the winner by KO... MANUEL DENMON, 1-0-0, 0-1-0
115, And the winner by KO... GARRET BURTON, 1-0-0, 0-1-0
116, It's a Draw!!, 0-0-1, 0-0-1
117, It's a Draw!!, 0-0-1, 0-1-1
118, It's a Draw!!, 0-0-1, 0-0-1
119, And the winner by KO... ANTONY LYNCH, 2-0-0, 0-1-0
120, And the winner by KO... CARSON WALTERS, 0-1-0, 1-1-0
121, And the winner by KO... CLEVELAND GILBERT, 2-0-0, 0-1-0
122, And the winner by KO... AHMED RICHARDS, 0-2-0, 1-1-0
123, And the winner by KO... JAROD DAVIS, 1-0-0, 0-1-0
124, And the winner by KO... AVERY PERRY, 0-1-0, 1-0-0
125, And the winner by KO... BLAINE GILBERT, 1-0-0, 0-1-0
126, And the winner by KO... KERMIT DURIO, 1-0-0, 0-1-0
127, And the winner by KO... LOGAN GEORGE, 1-0-0, 0-1-0
128, And the winner by KO... RIGOBERTO HOWARD, 1-0-0, 0-1-0
129, And the winner by KO... MAC LEE, 1-1-0, 1-0-0
130, It's a Draw!!, 0-0-1, 0-0-1
131, And the winner by KO... PHIL PERKINS, 1-0-0, 0-1-0
132, And the winner by KO... DEMARCUS CAMPBELL, 0-1-0, 1-0-0
133, And the winner by KO... LEROY ESTRIDGE, 0-2-0, 1-0-0
134, And the winner by KO... DOUG CARR, 1-0-0, 0-1-0
135, And the winner by KO... ARON RODRIGUEZ, 1-0-1, 0-1-0
136, And the winner by KO... SEYMOUR GRAY, 1-0-0, 0-1-0
137, And the winner by KO... LAMONT SANDERS, 0-1-0, 1-0-0
138, It's a Draw!!, 0-0-1, 0-0-1
139, And the winner by KO... WILBERT KELLY, 1-2-0, 1-0-0
140, And the winner by KO... AGUSTIN CAMPBELL, 1-0-0, 0-1-0
141, And the winner by KO... ARON RODRIGUEZ, 2-0-1, 0-1-0
142, And the winner by KO... ELWOOD LITTLE, 0-1-0, 1-0-0
143, It's a Draw!!, 0-0-1, 0-0-1
144, And the winner by KO... PATRICIA DINGEE, 0-1-0, 1-0-0
145, And the winner by KO... LOREN STEPHENS, 0-2-0, 1-0-0
146, And the winner by KO... RHETT BYRD, 1-1-1, 0-1-0
147, It's a Draw!!, 0-0-1, 0-0-1
148, And the winner by KO... MORRIS KELLEY, 1-0-0, 0-1-0
149, And the winner by KO... RAYMON WOOD, 1-0-0, 0-1-0
150, And the winner by KO... EMIL STEVENS, 1-0-0, 0-1-0
151, It's a Draw!!, 0-0-1, 0-0-1
152, And the winner by KO... KASEY TORRES, 1-0-0, 0-1-0
153, And the winner by KO... CARL MCDONALD, 1-0-1, 0-1-0
154, And the winner by KO... EDWARD PETERS, 1-0-0, 0-1-0
155, And the winner by KO... ANTOINE GARZA, 1-0-0, 0-1-0
156, And the winner by KO... MILO POWELL, 0-2-0, 1-0-0
157, And the winner by KO... MAURICIO OLIVER, 0-1-0, 1-0-0
158, And the winner by KO... SHAYNE MURPHY, 1-0-0, 0-1-0
159, And the winner by KO... JULIO FLORES, 1-0-0, 0-1-1
160, And the winner by KO... DOUGLAS WEAVER, 0-1-0, 1-1-0
161, And the winner by KO... FRANKLIN MASON, 0-1-0, 1-0-0
162, And the winner by KO... DEON HALL, 0-1-0, 2-0-0
163, And the winner by KO... HUGO HERRERA, 1-0-0, 0-1-1
164, And the winner by KO... RICARDO SCOTT, 1-0-1, 0-1-0
165, And the winner by KO... ALLAN PETERS, 0-1-0, 1-0-0
166, It's a Draw!!, 0-1-1, 1-0-1
167, And the winner by KO... DERRICK SHAW, 1-0-0, 0-1-0
168, And the winner by KO... MAC LEE, 0-2-0, 2-0-0
169, And the winner by KO... WILTON NELSON, 1-0-0, 0-1-0
170, And the winner by KO... KERMIT EGGLETON, 0-1-0, 1-1-1
171, It's a Draw!!, 0-0-1, 0-0-1
172, And the winner by KO... JACK MCDONALD, 0-1-0, 1-0-0
173, It's a Draw!!, 1-0-1, 0-0-1
174, It's a Draw!!, 0-0-1, 0-0-1
175, It's a Draw!!, 0-0-1, 0-1-1
176, And the winner by KO... MAN HERRERA, 1-0-0, 0-2-0
177, And the winner by KO... MASON SILVA, 1-0-0, 0-1-0
178, It's a Draw!!, 0-0-1, 0-0-1
179, And the winner by KO... MAX PERRY, 2-0-0, 0-1-0
180, And the winner by KO... FRED CHAVEZ, 0-1-0, 2-0-0
181, And the winner by KO... DERRICK SHAW, 2-0-0, 0-2-0
182, And the winner by KO... DARIO MATTHEWS, 0-1-0, 1-0-0
183, And the winner by KO... SCOTTY WILSON, 0-1-0, 1-0-0
184, And the winner by KO... RICHIE THOMAS, 0-1-0, 1-0-0
185, And the winner by KO... JOHNSON HUNT, 1-0-0, 0-1-1
186, And the winner by KO... DAMIAN HARVEY, 1-0-0, 0-1-0
187, And the winner by KO... GABRIEL ELLIOTT, 1-0-0, 0-1-0
188, And the winner by KO... TYRON FITZHENRY, 1-0-0, 0-1-0
189, It's a Draw!!, 0-0-1, 0-1-1
190, And the winner by KO... LACY OLSON, 1-1-0, 1-0-0
191, And the winner by KO... COLTON HARRIS, 0-2-0, 1-0-0
192, And the winner by KO... HUMBERTO MORGAN, 1-0-0, 0-1-0
193, And the winner by KO... GROVER BROWN, 0-2-1, 1-0-0
194, And the winner by KO... TAYLOR PIERCE, 0-1-0, 1-1-0
195, And the winner by KO... JAMAR DILULLO, 1-0-0, 0-1-0
196, And the winner by KO... CODY ESSMAN, 0-1-0, 1-0-0
197, And the winner by KO... ANDRE BLACK, 1-0-0, 0-1-0
198, And the winner by KO... AARON RYAN, 1-0-0, 0-1-0
199, And the winner by KO... MIQUEL HICKS, 1-0-0, 0-1-0
200, And the winner by KO... BERRY HUNT, 1-0-0, 0-1-0
201, And the winner by KO... KAREEM BERRY, 0-1-0, 1-0-0
202, And the winner by KO... PATRICIA DEROUIN, 0-1-0, 1-1-0
203, And the winner by KO... CHANG RICE, 1-0-0, 0-1-0
204, And the winner by KO... RAMON SPENCER, 1-0-0, 0-1-0
205, It's a Draw!!, 1-1-1, 0-0-1
206, And the winner by KO... DOUGLAS WEAVER, 0-1-0, 2-1-0
207, And the winner by KO... JOHNATHON VARGAS, 1-0-0, 0-1-0
208, And the winner by KO... BENITO DOBROWOLSKI, 0-1-1, 2-1-0
209, And the winner by KO... TERENCE RAMOS, 1-1-0, 1-0-0
210, And the winner by KO... CURT CARLSON, 0-1-0, 1-0-0
211, And the winner by KO... RODERICK KELLY, 1-0-0, 0-1-0
212, And the winner by KO... ROGELIO BAKER, 1-0-0, 0-1-0
213, And the winner by KO... MINH EVANS, 0-1-0, 1-0-0
214, And the winner by KO... REUBEN WEST, 0-1-0, 1-0-1
215, And the winner by KO... ERIK ELLIS, 1-0-0, 0-1-0
216, And the winner by KO... BOYD FILICE, 0-1-0, 1-0-0
217, And the winner by KO... ALBERT SIMPSON, 0-1-0, 1-1-0
218, And the winner by KO... EARL DANIELS, 0-1-0, 1-0-0
219, It's a Draw!!, 0-0-1, 1-0-1
220, And the winner by KO... JAE DRESHER, 0-1-0, 1-0-0
221, And the winner by KO... ELLSWORTH HARPER, 1-0-0, 0-1-0
222, And the winner by KO... ELLSWORTH GRANT, 1-0-0, 0-1-0
223, And the winner by KO... SCOTT RAY, 0-1-0, 1-0-0
224, And the winner by KO... ERROL HOWARD, 0-1-0, 1-0-0
225, It's a Draw!!, 0-0-1, 0-0-1
226, And the winner by KO... IRWIN HENDERSON, 1-0-0, 0-1-0
227, It's a Draw!!, 0-0-1, 0-0-2
228, It's a Draw!!, 0-1-1, 0-0-1
229, It's a Draw!!, 0-0-2, 0-0-1
230, It's a Draw!!, 0-0-1, 0-0-1
231, And the winner by KO... RANDELL ESTRIDGE, 1-0-0, 0-2-0
232, And the winner by KO... NEAL DENMON, 0-1-0, 1-0-0
233, And the winner by KO... LAMONT SANDERS, 2-0-0, 0-1-0
234, And the winner by KO... NAPOLEON STEPHENS, 1-0-0, 0-1-1
235, And the winner by KO... DEON HALL, 0-1-0, 3-0-0
236, And the winner by KO... JEFF GONZALES, 0-1-0, 1-0-0
237, And the winner by KO... THADDEUS EVANS, 2-0-0, 1-1-0
238, And the winner by KO... TYRON OLSON, 1-0-0, 1-1-0
239, And the winner by KO... RALEIGH HUDSON, 1-0-0, 0-1-0
240, And the winner by KO... COURTNEY BARNES, 1-0-0, 1-1-0
241, And the winner by KO... LANE MURPHY, 1-0-0, 0-1-0
242, It's a Draw!!, 1-1-1, 0-1-1
243, And the winner by KO... FLORENTINO CARTER, 1-0-0, 0-1-0
244, And the winner by KO... JIMMIE MEYER, 0-1-0, 1-0-0
245, And the winner by KO... HARRIS GEORGE, 1-0-0, 1-1-0
246, It's a Draw!!, 0-0-1, 0-1-1
247, It's a Draw!!, 0-0-2, 0-1-1
248, And the winner by KO... HOMER DONLAN, 0-2-0, 1-0-0
249, And the winner by KO... CHANCE FOX, 0-1-0, 1-0-1
250, And the winner by KO... ELLSWORTH GRANT, 2-1-1, 2-0-0
251, And the winner by KO... ELIAS HARRISON, 0-1-0, 1-0-0
252, It's a Draw!!, 0-0-1, 1-0-1
253, And the winner by KO... CAROL CARROLL, 0-1-0, 1-0-0
254, And the winner by KO... OLLIE BERRY, 0-1-0, 1-0-0
255, It's a Draw!!, 0-1-1, 0-0-1
256, And the winner by KO... CARTER RILEY, 1-0-0, 0-1-0
257, And the winner by KO... TRISTAN WHITE, 0-1-0, 1-0-0
258, And the winner by KO... ANDREW HUNT, 1-0-0, 0-1-0
259, And the winner by KO... TREY FAUSNAUGHT, 1-0-0, 0-1-0
260, It's a Draw!!, 0-0-1, 0-0-1
261, And the winner by KO... JONAH SPENCER, 0-1-0, 1-0-0
262, And the winner by KO... GRAHAM MATTHEWS, 0-1-0, 1-1-0
263, And the winner by KO... CLEO ROMERO, 1-0-0, 0-2-0
264, And the winner by KO... SANG HARPER, 0-1-0, 1-1-0
265, It's a Draw!!, 0-0-1, 0-0-1
266, And the winner by KO... FRED YOUNG, 1-0-1, 2-1-0
267, It's a Draw!!, 0-0-1, 0-1-1
268, It's a Draw!!, 0-0-1, 1-0-2
269, And the winner by KO... CHRISTIAN MILLER, 0-1-0, 1-0-0
270, It's a Draw!!, 0-0-1, 0-0-1
271, And the winner by KO... LES FERNANDEZ, 1-0-0, 0-1-0
272, And the winner by KO... LARRY DENMON, 1-1-0, 1-0-0
273, And the winner by KO... DAMON DONLAN, 0-1-0, 1-0-0
274, And the winner by KO... ISSAC BOWMAN, 0-1-0, 1-0-1
275, And the winner by KO... GERRY HOPKINS, 1-0-0, 1-1-0
276, And the winner by KO... STANFORD COX, 1-0-0, 0-2-0
277, And the winner by KO... MICHAEL ENZ, 1-0-0, 0-1-0
278, And the winner by KO... BROOKS ARNOLD, 0-1-1, 1-0-0
279, It's a Draw!!, 0-0-1, 0-0-1
280, It's a Draw!!, 0-0-1, 0-0-1
281, And the winner by KO... GEOFFREY SIMS, 1-0-0, 0-1-0
282, And the winner by KO... ELIAS HARRISON, 2-0-0, 0-1-0
283, And the winner by KO... EDGARDO JACKSON, 1-1-0, 1-0-0
284, And the winner by KO... JC ADAMS, 1-1-0, 0-1-0
285, And the winner by KO... JOE JACOBS, 0-1-0, 1-0-0
286, And the winner by KO... AARON OWENS, 1-0-0, 0-1-0
287, It's a Draw!!, 1-0-1, 0-1-1
288, It's a Draw!!, 0-0-1, 0-0-1
289, And the winner by KO... GRAIG CARR, 0-1-0, 1-0-0
290, It's a Draw!!, 0-0-1, 0-0-1
291, And the winner by KO... COY BENNETT, 1-0-1, 0-1-0
292, And the winner by KO... RICARDO JACKSON, 1-0-0, 0-1-1
293, And the winner by KO... SHERWOOD BROOKS, 0-1-0, 2-0-0
294, It's a Draw!!, 0-0-1, 1-0-1
295, It's a Draw!!, 0-0-1, 0-0-1
296, And the winner by KO... VICENTE HAYES, 1-0-0, 0-1-0
297, And the winner by KO... JERE CURTIS, 1-0-0, 0-1-0
298, And the winner by KO... CURT CARLSON, 0-1-1, 2-0-0
299, It's a Draw!!, 0-0-1, 0-0-1
300, And the winner by KO... RAYMON WOOD, 2-0-0, 0-1-0
301, It's a Draw!!, 1-0-1, 0-0-1
302, It's a Draw!!, 0-0-1, 0-0-1
303, And the winner by KO... VICTOR JACOBS, 1-0-0, 0-1-0
304, And the winner by KO... ANTIONE HUDSON, 0-1-0, 1-0-0
305, And the winner by KO... MAX PERRY, 3-0-0, 0-1-0
306, And the winner by KO... BRANDEN WADE, 1-0-0, 0-1-0
307, It's a Draw!!, 0-0-1, 1-2-1
308, And the winner by KO... NATHANAEL BRYANT, 0-1-0, 1-0-0
309, And the winner by KO... MATT MORALES, 0-1-0, 1-1-0
310, And the winner by KO... CHESTER FILMORE, 0-1-0, 1-0-0
311, And the winner by KO... CARY FIELDS, 1-0-0, 0-1-0
312, And the winner by KO... BOYD FILICE, 2-0-0, 0-1-0
313, And the winner by KO... BUDDY OWENS, 1-0-0, 1-1-0
314, And the winner by KO... VAN FORD, 1-0-0, 0-3-0
315, And the winner by KO... VERNON HART, 1-0-0, 0-1-0
316, And the winner by KO... RICARDO HARRISON, 1-2-0, 1-0-0
317, And the winner by KO... ISMAEL DIAZ, 1-0-0, 0-1-1
318, And the winner by KO... CRUZ ORTIZ, 1-0-0, 0-1-0
319, And the winner by KO... ARCHIE WAGNER, 1-1-0, 1-1-0
320, And the winner by KO... KELLY ROMERO, 1-1-0, 1-1-1
321, And the winner by KO... FRANK BERRY, 0-2-0, 1-1-0
322, And the winner by KO... SHELDON RAMOS, 1-1-0, 2-0-1
323, And the winner by KO... CORDELL EAGAR, 1-0-0, 0-1-0
324, And the winner by KO... BRAD ROMERO, 0-1-0, 1-0-0
325, And the winner by KO... BEN GRANT, 0-1-0, 2-0-0
326, And the winner by KO... DEREK PATTERSON, 0-1-0, 1-1-0
327, It's a Draw!!, 0-0-1, 0-1-2
328, And the winner by KO... JOHNNIE BLACK, 0-1-0, 2-0-0
329, And the winner by KO... NORMAN BYRD, 0-1-0, 1-1-0
330, And the winner by KO... HOMER DONLAN, 0-2-0, 2-1-0
331, And the winner by KO... LUCIEN BROWN, 1-0-0, 0-2-0
332, And the winner by KO... FREDERIC ROBERTS, 1-0-1, 0-2-1
333, And the winner by KO... ANDY POWELL, 1-0-0, 0-2-0
334, And the winner by KO... JC WRIGHT, 1-0-0, 1-1-0
335, And the winner by KO... LOUIE WASHINGTON, 0-1-0, 1-0-0
336, And the winner by KO... JC WRIGHT, 0-1-0, 2-0-0
337, And the winner by KO... KENNITH HANSON, 1-2-0, 2-0-0
338, And the winner by KO... DEAN RODRIGUEZ, 2-0-1, 0-1-0
339, It's a Draw!!, 1-0-1, 0-1-1
340, It's a Draw!!, 0-0-1, 0-0-1
341, It's a Draw!!, 2-0-1, 0-0-1
342, And the winner by KO... ISAIAS CARROLL, 0-1-0, 1-0-0
343, And the winner by KO... BENTON SOTO, 1-0-0, 1-1-0
344, And the winner by KO... JAMAL REED, 0-2-0, 1-1-0
345, And the winner by KO... CLAY LEWIS, 0-1-0, 1-0-0
346, It's a Draw!!, 0-1-1, 0-0-1
347, And the winner by KO... JUSTIN COLLINS, 0-1-0, 1-0-0
348, It's a Draw!!, 1-1-1, 0-0-1
349, And the winner by KO... EZEKIEL MARTIN, 1-0-0, 1-1-0
350, And the winner by KO... LUKE CAMPBELL, 1-0-0, 1-1-0
351, It's a Draw!!, 1-0-1, 0-0-2
352, And the winner by KO... FAUSTINO JACKSON, 0-1-0, 1-0-0
353, And the winner by KO... JASON GEORGE, 1-0-0, 0-1-1
354, And the winner by KO... OREN OLSON, 1-2-0, 1-1-1
355, And the winner by KO... TRACY WADE, 1-0-0, 0-1-0
356, And the winner by KO... JULIAN DELMONT, 1-0-0, 0-1-0
357, And the winner by KO... GRAIG DUENES, 0-1-0, 1-0-0
358, And the winner by KO... EMILIO WATKINS, 0-1-0, 1-1-0
359, And the winner by KO... TRENT LEWIS, 1-0-0, 1-2-0
360, And the winner by KO... OREN OLSON, 2-2-0, 0-1-0
361, And the winner by KO... CHRISTIAN MILLER, 0-2-0, 2-0-0
362, And the winner by KO... RAYMON WOOD, 0-2-0, 3-0-0
363, And the winner by KO... BEN FLEMING, 0-2-0, 1-0-0
364, And the winner by KO... ELLIOTT EAKLE, 1-0-0, 0-1-0
365, And the winner by KO... JEFFERY BURNS, 1-1-0, 0-1-0
366, And the winner by KO... MILTON TUCKER, 1-0-0, 0-1-0
367, And the winner by KO... LIONEL DUHAIME, 1-0-0, 0-1-0
368, And the winner by KO... JOAN FARRAH, 0-1-0, 1-0-0
369, And the winner by KO... DICK SANDERS, 0-1-0, 1-0-0
370, And the winner by KO... EMIL MARSHALL, 0-1-0, 1-0-0
371, It's a Draw!!, 1-0-1, 1-0-1
372, And the winner by KO... FREDERICK HAWKINS, 2-1-0, 1-0-0
373, And the winner by KO... JC WRIGHT, 0-1-1, 3-0-0
374, And the winner by KO... RON HOFFMAN, 0-1-0, 2-0-0
375, And the winner by KO... ADOLPH WEBB, 0-1-0, 1-0-0
376, It's a Draw!!, 0-0-1, 0-0-1
377, It's a Draw!!, 0-1-1, 0-0-1
378, It's a Draw!!, 0-0-1, 0-0-1
379, And the winner by KO... MILTON DELUCCA, 1-0-1, 1-1-0
380, And the winner by KO... MARTIN DUNWOODY, 1-0-0, 0-1-0
381, And the winner by KO... VICENTE HAYES, 0-1-0, 2-0-0
382, It's a Draw!!, 0-0-1, 0-0-1
383, It's a Draw!!, 0-0-1, 0-0-1
384, It's a Draw!!, 0-0-1, 0-0-1
385, It's a Draw!!, 0-0-1, 0-0-1
386, And the winner by KO... IVAN GRAHAM, 1-0-0, 0-1-0
387, And the winner by KO... TOMMY PETERSON, 0-1-0, 1-0-0
388, And the winner by KO... WESLEY STEWART, 0-1-0, 1-0-0
389, And the winner by KO... DELBERT RUSSELL, 0-1-0, 1-0-0
390, And the winner by KO... LEIGH HOPKINS, 0-1-0, 1-0-0
391, And the winner by KO... EMILE MCCOY, 1-1-0, 0-1-0
392, It's a Draw!!, 0-0-1, 0-1-1
393, And the winner by KO... VIRGILIO GARDNER, 0-1-0, 2-0-2
394, And the winner by KO... ELLIS THOMAS, 0-1-0, 1-0-0
395, And the winner by KO... ADOLPH HENDERSON, 1-0-0, 0-1-0
396, And the winner by KO... FAUSTO HARRIS, 1-0-0, 0-1-0
397, And the winner by KO... HORACE ORTIZ, 1-0-0, 1-1-0
398, And the winner by KO... GENE GRAHAM, 1-0-1, 1-1-0
399, And the winner by KO... RICARDO SCOTT, 0-1-0, 2-0-1
400, And the winner by KO... FAUSTINO REED, 1-1-1, 0-1-0
401, And the winner by KO... LES MCDONALD, 1-0-0, 1-1-0
402, And the winner by KO... MORTON FRAZIER, 0-1-0, 1-1-0
403, It's a Draw!!, 0-1-1, 0-1-1
404, And the winner by KO... DOMINIQUE ESTRIDGE, 1-1-1, 0-1-1
405, And the winner by KO... MILO POWELL, 0-2-0, 2-0-0
406, It's a Draw!!, 0-0-1, 1-0-1
407, And the winner by KO... RAYMUNDO CARLSON, 1-1-0, 1-0-0
408, And the winner by KO... KASEY TORRES, 0-1-0, 2-0-0
409, It's a Draw!!, 1-0-1, 0-0-1
410, It's a Draw!!, 0-0-1, 0-0-1
411, And the winner by KO... BRENTON THOMPSON, 1-0-0, 0-2-0
412, It's a Draw!!, 0-0-2, 0-0-1
413, And the winner by KO... LINDSEY REYNOLDS, 1-1-0, 2-0-0
414, And the winner by KO... FELIX DEROUIN, 1-0-0, 0-1-0
415, And the winner by KO... MOHAMMAD EDDINGER, 1-0-0, 1-2-1
416, And the winner by KO... ORLANDO NICHOLS, 2-0-0, 0-1-0
417, And the winner by KO... DOMINIC MARTIN, 1-1-0, 0-1-0
418, And the winner by KO... NAPOLEON STEPHENS, 2-1-0, 0-1-0
419, And the winner by KO... MALIK CLARK, 0-1-0, 1-1-0
420, And the winner by KO... SCOTTY WILSON, 2-0-0, 0-1-0
421, And the winner by KO... MARY CLARK, 0-1-0, 1-0-0
422, And the winner by KO... JOHNIE HAWKINS, 1-0-0, 0-1-2
423, And the winner by KO... BOYD FILICE, 3-0-0, 0-1-0
424, And the winner by KO... LACY SNYDER, 0-1-0, 1-0-0
425, It's a Draw!!, 0-0-1, 0-0-1
