1, Paris, Lightweight, 1
120, Seattle, Lightweight, 0
121, Denver, Lightweight, 0
122, Seattle, Lightweight, 0
123, Los Angeles, Lightweight, 1
124, Las Vegas, Lightweight, 1
125, Paris, Lightweight, 1
126, Los Angeles, Lightweight, 1
127, Paris, Lightweight, 1
128, Seattle, Lightweight, 0
129, London, Lightweight, 0
130, Los Angeles, Lightweight, 1
131, New York, Lightweight, 1
132, Dublin, Lightweight, 0
133, Seattle, Lightweight, 1
134, Paris, Lightweight, 0
135, Los Angeles, Lightweight, 0
136, Los Angeles, Lightweight, 0
137, Las Vegas, Lightweight, 0
138, Seattle, Lightweight, 1
139, Paris, Lightweight, 0
140, Las Vegas, Lightweight, 0
141, Paris, Lightweight, 0
142, New York, Lightweight, 0
143, Seattle, Lightweight, 1
144, Seattle, Lightweight, 0
145, Los Angeles, Lightweight, 0
146, London, Lightweight, 1
147, Paris, Lightweight, 0
148, New York, Lightweight, 1
149, New York, Lightweight, 0
150, New York, Lightweight, 1
151, Paris, Lightweight, 1
152, Denver, Lightweight, 1
153, Dublin, Lightweight, 1
154, New York, Lightweight, 0
155, Seattle, Lightweight, 1
156, Dublin, Lightweight, 0
157, New York, Lightweight, 1
158, London, Lightweight, 0
159, New York, Lightweight, 1
160, Paris, Lightweight, 0
161, Seattle, Lightweight, 1
162, New York, Lightweight, 1
163, Dublin, Lightweight, 0
164, Seattle, Lightweight, 1
165, Denver, Lightweight, 1
166, London, Lightweight, 0
167, Dublin, Lightweight, 1
168, London, Lightweight, 0
169, Seattle, Lightweight, 1
170, Denver, Lightweight, 1
171, Dublin, Lightweight, 1
172, Las Vegas, Lightweight, 1
173, Paris, Lightweight, 1
174, Seattle, Lightweight, 0
175, Denver, Lightweight, 1
176, Seattle, Lightweight, 1
177, Las Vegas, Lightweight, 0
178, London, Lightweight, 0
179, Paris, Lightweight, 1
180, Paris, Lightweight, 1
181, Las Vegas, Lightweight, 1
182, Seattle, Lightweight, 0
183, Seattle, Lightweight, 0
184, Dublin, Lightweight, 0
185, London, Lightweight, 1
186, New York, Lightweight, 1
187, Denver, Lightweight, 0
188, Paris, Lightweight, 0
189, London, Lightweight, 1
190, Denver, Lightweight, 0
191, New York, Lightweight, 0
192, London, Lightweight, 1
193, London, Lightweight, 0
194, London, Lightweight, 1
195, Las Vegas, Lightweight, 0
196, Seattle, Lightweight, 1
197, Denver, Lightweight, 1
198, Las Vegas, Lightweight, 1
199, New York, Lightweight, 0
200, Los Angeles, Lightweight, 1
201, Dublin, Lightweight, 0
202, Los Angeles, Lightweight, 0
203, New York, Lightweight, 1
204, Denver, Lightweight, 0
205, Dublin, Lightweight, 1
206, Dublin, Lightweight, 0
207, Dublin, Lightweight, 1
208, Dublin, Lightweight, 0
209, Seattle, Lightweight, 1
210, Los Angeles, Lightweight, 1
211, Las Vegas, Lightweight, 1
212, Los Angeles, Lightweight, 0
213, Las Vegas, Lightweight, 1
214, Las Vegas, Lightweight, 0
215, New York, Lightweight, 1
216, Las Vegas, Lightweight, 0
217, Paris, Lightweight, 0
218, Dublin, Lightweight, 1
219, Paris, Lightweight, 0
220, Dublin, Lightweight, 0
221, Denver, Lightweight, 1
222, Seattle, Lightweight, 0
223, Paris, Lightweight, 1
224, Seattle, Lightweight, 1
225, Dublin, Lightweight, 0
226, Las Vegas, Lightweight, 0
227, Los Angeles, Lightweight, 1
228, Paris, Lightweight, 1
229, London, Lightweight, 1
230, London, Lightweight, 0
231, Las Vegas, Lightweight, 1
232, Paris, Lightweight, 1
233, Dublin, Lightweight, 1
234, Los Angeles, Lightweight, 1
235, Dublin, Lightweight, 1
236, London, Lightweight, 1
237, London, Lightweight, 1
238, Paris, Lightweight, 1
239, New York, Lightweight, 0
240, Denver, Lightweight, 0
241, Las Vegas, Lightweight, 0
242, London, Lightweight, 0
243, New York, Lightweight, 0
244, Paris, Lightweight, 1
245, Dublin, Lightweight, 0
246, Seattle, Lightweight, 1
247, Denver, Lightweight, 0
248, Denver, Lightweight, 1
249, New York, Lightweight, 0
250, Seattle, Lightweight, 0
251, Los Angeles, Lightweight, 0
252, Seattle, Lightweight, 0
253, Los Angeles, Lightweight, 0
254, Dublin, Lightweight, 1
255, Las Vegas, Lightweight, 0
256, Las Vegas, Lightweight, 1
257, Dublin, Lightweight, 1
258, Los Angeles, Lightweight, 1
259, Dublin, Lightweight, 1
260, Dublin, Lightweight, 0
261, London, Lightweight, 1
262, Paris, Lightweight, 0
263, New York, Lightweight, 0
264, Seattle, Lightweight, 0
265, Las Vegas, Lightweight, 1
266, Dublin, Lightweight, 1
267, London, Lightweight, 1
268, Paris, Lightweight, 0
269, Los Angeles, Lightweight, 1
270, London, Lightweight, 1
271, Seattle, Lightweight, 1
272, London, Lightweight, 0
273, Paris, Lightweight, 1
274, Denver, Lightweight, 0
275, London, Lightweight, 1
276, Dublin, Lightweight, 1
277, Seattle, Lightweight, 0
278, Denver, Lightweight, 0
279, New York, Lightweight, 1
280, Las Vegas, Lightweight, 0
281, London, Lightweight, 1
282, Paris, Lightweight, 1
283, London, Lightweight, 1
284, Paris, Lightweight, 1
285, London, Lightweight, 0
286, Los Angeles, Lightweight, 0
287, Dublin, Lightweight, 0
288, Seattle, Lightweight, 1
289, Paris, Lightweight, 1
290, Denver, Lightweight, 0
291, Las Vegas, Lightweight, 0
292, New York, Lightweight, 0
293, Seattle, Lightweight, 1
294, Los Angeles, Lightweight, 1
295, Los Angeles, Lightweight, 0
296, London, Lightweight, 0
297, London, Lightweight, 0
298, Los Angeles, Lightweight, 1
299, Las Vegas, Lightweight, 1
300, New York, Lightweight, 0
301, New York, Lightweight, 1
302, Denver, Lightweight, 0
303, Paris, Lightweight, 1
304, Los Angeles, Lightweight, 0
305, New York, Lightweight, 1
306, New York, Lightweight, 0
307, New York, Lightweight, 1
308, London, Lightweight, 1
309, Dublin, Lightweight, 1
310, Seattle, Lightweight, 0
311, Denver, Lightweight, 0
312, Paris, Lightweight, 0
313, Paris, Lightweight, 1
314, Las Vegas, Lightweight, 1
315, Paris, Lightweight, 0
316, Paris, Lightweight, 0
317, Las Vegas, Lightweight, 0
318, London, Lightweight, 1
319, Denver, Lightweight, 1
320, London, Lightweight, 1
321, Paris, Lightweight, 0
322, Dublin, Lightweight, 1
323, Denver, Lightweight, 1
324, Paris, Lightweight, 1
325, New York, Lightweight, 1
326, New York, Lightweight, 1
327, Denver, Lightweight, 0
328, Las Vegas, Lightweight, 0
329, Los Angeles, Lightweight, 0
330, Paris, Lightweight, 1
331, Dublin, Lightweight, 1
332, Seattle, Lightweight, 1
333, London, Lightweight, 0
334, Seattle, Lightweight, 1
335, Dublin, Lightweight, 1
336, London, Lightweight, 0
337, Paris, Lightweight, 0
338, New York, Lightweight, 0
339, Los Angeles, Lightweight, 0
340, London, Lightweight, 1
341, Dublin, Lightweight, 1
342, Paris, Lightweight, 0
343, Las Vegas, Lightweight, 0
344, London, Lightweight, 0
345, Seattle, Lightweight, 1
346, Seattle, Lightweight, 0
347, Las Vegas, Lightweight, 1
348, Denver, Lightweight, 0
349, Las Vegas, Lightweight, 0
350, Las Vegas, Lightweight, 1
351, Los Angeles, Lightweight, 1
352, Seattle, Lightweight, 1
353, London, Lightweight, 0
354, Denver, Lightweight, 1
355, Los Angeles, Lightweight, 0
356, Seattle, Lightweight, 0
357, Seattle, Lightweight, 1
358, Seattle, Lightweight, 0
359, London, Lightweight, 1
360, Seattle, Lightweight, 0
361, Seattle, Lightweight, 1
362, Las Vegas, Lightweight, 1
363, Las Vegas, Lightweight, 1
364, Seattle, Lightweight, 0
365, Paris, Lightweight, 0
366, Denver, Lightweight, 1
367, Denver, Lightweight, 1
368, London, Lightweight, 0
369, New York, Lightweight, 1
370, Seattle, Lightweight, 0
371, Paris, Lightweight, 0
372, London, Lightweight, 0
373, Paris, Lightweight, 1
374, Denver, Lightweight, 0
375, Denver, Lightweight, 1
376, Las Vegas, Lightweight, 0
377, Los Angeles, Lightweight, 0
378, New York, Lightweight, 1
379, London, Lightweight, 1
380, Denver, Lightweight, 0
381, Las Vegas, Lightweight, 0
382, New York, Lightweight, 1
383, Paris, Lightweight, 1
384, London, Lightweight, 0
385, Los Angeles, Lightweight, 0
386, Los Angeles, Lightweight, 0
387, Seattle, Lightweight, 1
388, London, Lightweight, 1
389, Los Angeles, Lightweight, 0
390, Seattle, Lightweight, 1
391, Paris, Lightweight, 1
392, Las Vegas, Lightweight, 0
393, Seattle, Lightweight, 0
394, Seattle, Lightweight, 0
395, New York, Lightweight, 1
396, Las Vegas, Lightweight, 0
397, Dublin, Lightweight, 0
398, New York, Lightweight, 1
399, New York, Lightweight, 0
400, New York, Lightweight, 1
401, Los Angeles, Lightweight, 0
402, Paris, Lightweight, 0
403, Paris, Lightweight, 1
404, Denver, Lightweight, 0
405, Los Angeles, Lightweight, 1
406, Dublin, Lightweight, 1
407, Dublin, Lightweight, 0
408, Los Angeles, Lightweight, 1
409, Paris, Lightweight, 0
410, London, Lightweight, 1
411, Las Vegas, Lightweight, 1
412, London, Lightweight, 0
413, Seattle, Lightweight, 1
414, Dublin, Lightweight, 0
415, Los Angeles, Lightweight, 0
416, Seattle, Lightweight, 1
417, Las Vegas, Lightweight, 0
418, New York, Lightweight, 1
419, Las Vegas, Lightweight, 1
420, Paris, Lightweight, 1
421, Los Angeles, Lightweight, 1
422, Los Angeles, Lightweight, 1
423, Paris, Lightweight, 0
424, Denver, Lightweight, 1
425, Denver, Lightweight, 0
426, New York, Lightweight, 0
427, Paris, Lightweight, 1
428, London, Lightweight, 0
429, Dublin, Lightweight, 1
430, Las Vegas, Lightweight, 1
431, Seattle, Lightweight, 0
432, Paris, Lightweight, 0
433, Dublin, Lightweight, 0
434, Las Vegas, Lightweight, 1
435, Seattle, Lightweight, 0
436, Denver, Lightweight, 0
437, London, Lightweight, 1
438, Seattle, Lightweight, 0
439, New York, Lightweight, 1
440, Denver, Lightweight, 0
441, Dublin, Lightweight, 1
442, London, Lightweight, 1
443, Denver, Lightweight, 1
444, London, Lightweight, 1
445, Seattle, Lightweight, 1
446, Denver, Lightweight, 0
447, Seattle, Lightweight, 1
448, Paris, Lightweight, 0
449, Seattle, Lightweight, 1
450, Paris, Lightweight, 1
451, London, Lightweight, 1
452, Los Angeles, Lightweight, 1
453, London, Lightweight, 1
454, Los Angeles, Lightweight, 1
455, Paris, Lightweight, 0
456, Paris, Lightweight, 0
457, Dublin, Lightweight, 0
458, Seattle, Lightweight, 0
459, Dublin, Lightweight, 1
460, Los Angeles, Lightweight, 1
461, Los Angeles, Lightweight, 0
462, Las Vegas, Lightweight, 1
463, Dublin, Lightweight, 1
464, Paris, Lightweight, 1
465, New York, Lightweight, 1
466, Dublin, Lightweight, 0
467, Dublin, Lightweight, 0
468, New York, Lightweight, 0
469, Denver, Lightweight, 1
470, Las Vegas, Lightweight, 0
471, London, Lightweight, 0
472, Seattle, Lightweight, 1
473, Denver, Lightweight, 0
474, London, Lightweight, 0
475, London, Lightweight, 1
476, Dublin, Lightweight, 0
477, Paris, Lightweight, 0
478, Los Angeles, Lightweight, 1
479, New York, Lightweight, 1
480, Los Angeles, Lightweight, 0
481, Los Angeles, Lightweight, 0
482, Seattle, Lightweight, 1
483, Los Angeles, Lightweight, 0
484, Dublin, Lightweight, 0
485, Dublin, Lightweight, 1
486, Paris, Lightweight, 1
487, Denver, Lightweight, 0
488, New York, Lightweight, 0
489, Las Vegas, Lightweight, 0
490, Las Vegas, Lightweight, 1
491, Los Angeles, Lightweight, 1
492, Las Vegas, Lightweight, 0
493, Las Vegas, Lightweight, 0
494, Seattle, Lightweight, 0
495, Seattle, Lightweight, 1
496, Paris, Lightweight, 1
497, London, Lightweight, 1
498, Los Angeles, Lightweight, 1
499, Dublin, Lightweight, 1
500, Paris, Lightweight, 0
501, Seattle, Lightweight, 0
502, Dublin, Lightweight, 1
503, Seattle, Lightweight, 0
504, Paris, Lightweight, 0
505, Dublin, Lightweight, 0
506, Los Angeles, Lightweight, 0
507, London, Lightweight, 0
508, Dublin, Lightweight, 1
509, Paris, Lightweight, 1
510, Las Vegas, Lightweight, 1
511, Seattle, Lightweight, 0
512, Dublin, Lightweight, 1
513, Dublin, Lightweight, 1
514, Seattle, Lightweight, 1
515, London, Lightweight, 0
516, Denver, Lightweight, 0
517, Seattle, Lightweight, 0
518, Denver, Lightweight, 1
519, Los Angeles, Lightweight, 1
520, Paris, Lightweight, 0
521, Las Vegas, Lightweight, 0
522, New York, Lightweight, 1
523, Dublin, Lightweight, 1
524, New York, Lightweight, 0
525, Dublin, Lightweight, 0
526, Las Vegas, Lightweight, 1
527, Los Angeles, Lightweight, 1
528, London, Lightweight, 0
529, Las Vegas, Lightweight, 1
530, Los Angeles, Lightweight, 0
531, Las Vegas, Lightweight, 1
532, Seattle, Lightweight, 0
533, Los Angeles, Lightweight, 0
534, Dublin, Lightweight, 1
535, Los Angeles, Lightweight, 1
536, Denver, Lightweight, 1
537, Paris, Lightweight, 0
538, Seattle, Lightweight, 0
539, Los Angeles, Lightweight, 0
540, London, Lightweight, 1
541, Dublin, Lightweight, 1
542, London, Lightweight, 0
543, Seattle, Lightweight, 0
544, London, Lightweight, 1
545, Dublin, Lightweight, 0
546, Denver, Lightweight, 1
547, London, Lightweight, 0
548, Seattle, Lightweight, 1
549, Seattle, Lightweight, 1
550, Las Vegas, Lightweight, 1
551, New York, Lightweight, 0
552, New York, Lightweight, 0
553, Denver, Lightweight, 1
554, Las Vegas, Lightweight, 1
555, Los Angeles, Lightweight, 1
556, London, Lightweight, 0
557, London, Lightweight, 1
558, Dublin, Lightweight, 0
559, Las Vegas, Lightweight, 0
560, New York, Lightweight, 1
561, Paris, Lightweight, 0
562, Las Vegas, Lightweight, 0
563, Seattle, Lightweight, 1
564, Dublin, Lightweight, 0
565, London, Lightweight, 1
566, London, Lightweight, 0
567, Las Vegas, Lightweight, 0
568, New York, Lightweight, 0
569, New York, Lightweight, 1
570, Seattle, Lightweight, 0
571, Dublin, Lightweight, 1
572, Denver, Lightweight, 0
573, London, Lightweight, 1
574, Los Angeles, Lightweight, 0
575, London, Lightweight, 1
576, Las Vegas, Lightweight, 1
577, Denver, Lightweight, 1
578, Denver, Lightweight, 1
579, Paris, Lightweight, 0
580, Las Vegas, Lightweight, 1
581, Seattle, Lightweight, 1
582, Seattle, Lightweight, 1
583, Los Angeles, Lightweight, 0
584, London, Lightweight, 1
585, Dublin, Lightweight, 1
586, Dublin, Lightweight, 1
587, Denver, Lightweight, 1
588, Los Angeles, Lightweight, 0
589, Dublin, Lightweight, 0
590, Paris, Lightweight, 0
591, Los Angeles, Lightweight, 0
592, Paris, Lightweight, 0
593, Paris, Lightweight, 1
594, Los Angeles, Lightweight, 1
595, Dublin, Lightweight, 1
596, London, Lightweight, 0
597, Los Angeles, Lightweight, 0
598, Seattle, Lightweight, 1
599, Seattle, Lightweight, 1
600, Los Angeles, Lightweight, 0
601, Paris, Lightweight, 1
602, Seattle, Lightweight, 1
603, Denver, Lightweight, 0
604, London, Lightweight, 0
605, London, Lightweight, 0
606, Dublin, Lightweight, 0
607, Paris, Lightweight, 1
608, Las Vegas, Lightweight, 0
609, Dublin, Lightweight, 0
610, New York, Lightweight, 1
611, Los Angeles, Lightweight, 1
612, New York, Lightweight, 1
613, Los Angeles, Lightweight, 1
614, Paris, Lightweight, 0
615, Dublin, Lightweight, 1
616, Los Angeles, Lightweight, 0
617, New York, Lightweight, 1
618, Dublin, Lightweight, 1
619, Paris, Lightweight, 0
620, New York, Lightweight, 0
621, Seattle, Lightweight, 0
622, Las Vegas, Lightweight, 1
623, New York, Lightweight, 1
624, New York, Lightweight, 0
625, Seattle, Lightweight, 1
626, Los Angeles, Lightweight, 0
627, Denver, Lightweight, 0
628, London, Lightweight, 1
629, Paris, Lightweight, 0
630, Seattle, Lightweight, 1
631, Denver, Lightweight, 1
632, New York, Lightweight, 0
633, Seattle, Lightweight, 1
634, Paris, Lightweight, 0
635, Las Vegas, Lightweight, 0
636, New York, Lightweight, 0
637, Dublin, Lightweight, 0
638, London, Lightweight, 0
639, London, Lightweight, 0
640, Denver, Lightweight, 1
641, Denver, Lightweight, 1
642, London, Lightweight, 1
643, Las Vegas, Lightweight, 1
644, London, Lightweight, 0
645, Denver, Lightweight, 1
646, Los Angeles, Lightweight, 1
647, New York, Lightweight, 1
648, Denver, Lightweight, 1
649, Paris, Lightweight, 1
650, Las Vegas, Lightweight, 1
651, Seattle, Lightweight, 1
652, Paris, Lightweight, 0
653, Dublin, Lightweight, 1
654, Denver, Lightweight, 1
655, New York, Lightweight, 1
656, Denver, Lightweight, 0
657, Las Vegas, Lightweight, 1
658, Seattle, Lightweight, 0
659, New York, Lightweight, 1
660, Las Vegas, Lightweight, 0
661, Las Vegas, Lightweight, 0
662, Denver, Lightweight, 1
663, London, Lightweight, 0
664, Los Angeles, Lightweight, 1
665, London, Lightweight, 1
666, Paris, Lightweight, 0
667, Denver, Lightweight, 0
668, London, Lightweight, 1
669, Dublin, Lightweight, 1
670, Denver, Lightweight, 0
671, Paris, Lightweight, 1
672, Seattle, Lightweight, 0
673, Denver, Lightweight, 1
674, Denver, Lightweight, 0
675, Las Vegas, Lightweight, 1
676, Las Vegas, Lightweight, 1
677, New York, Lightweight, 1
678, Dublin, Lightweight, 1
679, Las Vegas, Lightweight, 0
680, Paris, Lightweight, 1
681, New York, Lightweight, 1
682, Seattle, Lightweight, 1
683, Las Vegas, Lightweight, 1
684, Los Angeles, Lightweight, 0
685, Paris, Lightweight, 0
686, Dublin, Lightweight, 0
687, Denver, Lightweight, 0
688, Dublin, Lightweight, 1
689, Dublin, Lightweight, 1
690, Seattle, Lightweight, 1
691, New York, Lightweight, 0
692, Los Angeles, Lightweight, 1
693, Paris, Lightweight, 0
694, New York, Lightweight, 0
695, Paris, Lightweight, 1
696, Paris, Lightweight, 1
697, Los Angeles, Lightweight, 0
698, Los Angeles, Lightweight, 0
699, Denver, Lightweight, 1
700, Denver, Lightweight, 1
701, Las Vegas, Lightweight, 0
702, New York, Lightweight, 1
703, Seattle, Lightweight, 1
704, New York, Lightweight, 0
705, Denver, Lightweight, 1
706, Dublin, Lightweight, 1
707, Seattle, Lightweight, 0
708, New York, Lightweight, 1
709, Seattle, Lightweight, 0
710, Seattle, Lightweight, 1
711, Dublin, Lightweight, 1
712, Las Vegas, Lightweight, 0
713, Dublin, Lightweight, 0
714, Paris, Lightweight, 1
715, Dublin, Lightweight, 1
716, London, Lightweight, 0
717, Denver, Lightweight, 0
718, Las Vegas, Lightweight, 0
719, Denver, Lightweight, 0
720, Paris, Lightweight, 0
721, Denver, Lightweight, 0
722, Dublin, Lightweight, 1
723, New York, Lightweight, 0
724, Los Angeles, Lightweight, 0
725, New York, Lightweight, 1
726, Los Angeles, Lightweight, 1
727, Seattle, Lightweight, 0
728, Dublin, Lightweight, 1
729, Denver, Lightweight, 1
730, New York, Lightweight, 1
731, Paris, Lightweight, 0
732, Las Vegas, Lightweight, 1
733, Seattle, Lightweight, 1
734, Dublin, Lightweight, 0
735, London, Lightweight, 1
736, Dublin, Lightweight, 0
737, Los Angeles, Lightweight, 1
738, Dublin, Lightweight, 0
739, London, Lightweight, 1
740, Denver, Lightweight, 0
741, Paris, Lightweight, 1
742, Dublin, Lightweight, 0
743, New York, Lightweight, 0
744, New York, Lightweight, 0
745, Los Angeles, Lightweight, 0
746, Seattle, Lightweight, 1
747, Denver, Lightweight, 1
748, Denver, Lightweight, 1
749, Paris, Lightweight, 1
750, Paris, Lightweight, 0
751, Paris, Lightweight, 0
752, Denver, Lightweight, 0
753, Las Vegas, Lightweight, 1
754, Las Vegas, Lightweight, 0
755, Seattle, Lightweight, 1
756, Los Angeles, Lightweight, 0
757, London, Lightweight, 0
758, Las Vegas, Lightweight, 0
759, New York, Lightweight, 0
760, New York, Lightweight, 1
761, Denver, Lightweight, 1
762, Paris, Lightweight, 1
763, London, Lightweight, 1
764, Seattle, Lightweight, 0
765, Las Vegas, Lightweight, 0
766, Seattle, Lightweight, 1
767, Denver, Lightweight, 0
768, Denver, Lightweight, 1
769, Dublin, Lightweight, 1
770, Denver, Lightweight, 0
771, Denver, Lightweight, 1
772, Los Angeles, Lightweight, 0
773, Paris, Lightweight, 0
774, Paris, Lightweight, 1
775, Paris, Lightweight, 1
776, New York, Lightweight, 0
777, Paris, Lightweight, 1
778, London, Lightweight, 1
779, Dublin, Lightweight, 0
780, Denver, Lightweight, 1
781, Los Angeles, Lightweight, 0
782, Dublin, Lightweight, 0
783, London, Lightweight, 0
784, London, Lightweight, 0
785, Seattle, Lightweight, 1
786, Dublin, Lightweight, 1
787, Seattle, Lightweight, 1
788, Denver, Lightweight, 0
789, Denver, Lightweight, 0
790, London, Lightweight, 1
791, Dublin, Lightweight, 1
792, Los Angeles, Lightweight, 1
793, Dublin, Lightweight, 0
794, Los Angeles, Lightweight, 1
795, Seattle, Lightweight, 1
796, Dublin, Lightweight, 1
797, Paris, Lightweight, 0
798, Seattle, Lightweight, 1
799, Seattle, Lightweight, 1
800, Los Angeles, Lightweight, 0
801, Seattle, Lightweight, 0
802, Paris, Lightweight, 1
803, Los Angeles, Lightweight, 1
804, Las Vegas, Lightweight, 1
805, Dublin, Lightweight, 1
806, New York, Lightweight, 1
807, Denver, Lightweight, 1
808, London, Lightweight, 0
809, Los Angeles, Lightweight, 0
810, New York, Lightweight, 1
811, New York, Lightweight, 1
812, New York, Lightweight, 0
813, Denver, Lightweight, 0
814, Las Vegas, Lightweight, 0
815, Las Vegas, Lightweight, 1
816, Seattle, Lightweight, 0
817, New York, Lightweight, 1
818, Paris, Lightweight, 0
819, Seattle, Lightweight, 1
820, Seattle, Lightweight, 1
821, Seattle, Lightweight, 1
822, Dublin, Lightweight, 0
823, Las Vegas, Lightweight, 0
824, Seattle, Lightweight, 1
825, Seattle, Lightweight, 0
826, Los Angeles, Lightweight, 0
827, Seattle, Lightweight, 0
828, Las Vegas, Lightweight, 0
829, Dublin, Lightweight, 0
830, Paris, Lightweight, 0
831, Las Vegas, Lightweight, 0
832, Dublin, Lightweight, 0
833, Dublin, Lightweight, 0
834, Los Angeles, Lightweight, 0
835, New York, Lightweight, 0
836, Seattle, Lightweight, 1
837, Seattle, Lightweight, 1
838, New York, Lightweight, 1
839, New York, Lightweight, 0
840, Denver, Lightweight, 1
841, Paris, Lightweight, 0
842, London, Lightweight, 0
843, New York, Lightweight, 0
844, London, Lightweight, 0
845, New York, Lightweight, 0
846, Los Angeles, Lightweight, 0
847, Las Vegas, Lightweight, 1
848, Seattle, Lightweight, 1
849, Paris, Lightweight, 0
850, Paris, Lightweight, 1
851, Seattle, Lightweight, 0
852, Dublin, Lightweight, 1
853, Los Angeles, Lightweight, 1
854, Paris, Lightweight, 0
855, Las Vegas, Lightweight, 1
856, Paris, Lightweight, 1
857, London, Lightweight, 0
858, Paris, Lightweight, 0
859, Las Vegas, Lightweight, 1
860, Los Angeles, Lightweight, 0
861, London, Lightweight, 0
862, London, Lightweight, 0
863, Los Angeles, Lightweight, 0
864, Los Angeles, Lightweight, 1
865, Las Vegas, Lightweight, 0
866, New York, Lightweight, 0
867, Las Vegas, Lightweight, 0
868, London, Lightweight, 0
869, Seattle, Lightweight, 0
870, Los Angeles, Lightweight, 0
871, Paris, Lightweight, 0
872, Paris, Lightweight, 1
873, Denver, Lightweight, 1
874, New York, Lightweight, 0
875, Dublin, Lightweight, 1
876, Los Angeles, Lightweight, 0
877, Denver, Lightweight, 1
878, Paris, Lightweight, 1
879, Paris, Lightweight, 0
880, New York, Lightweight, 1
881, Seattle, Lightweight, 1
882, London, Lightweight, 1
883, Denver, Lightweight, 0
884, New York, Lightweight, 0
885, London, Lightweight, 0
886, Dublin, Lightweight, 0
887, Los Angeles, Lightweight, 0
888, Paris, Lightweight, 0
889, Seattle, Lightweight, 0
890, Denver, Lightweight, 1
891, Las Vegas, Lightweight, 0
892, Seattle, Lightweight, 1
893, Paris, Lightweight, 0
894, New York, Lightweight, 0
895, Paris, Lightweight, 0
