1, DEVON PETERSON, 3-4-5, 3, Welterweight, 0
38, COLUMBUS PERKINS, 2-5-2, 2, Middleweight, 0
39, RICHARD DAY, 2-5-2, 2, Middleweight, 0
40, STAN CARTER, 4-9-1, 4, Welterweight, 1
41, DALTON ARNOLD, 3-10-1, 3, Light Heavyweight, 1
42, ETHAN HARPER, 1-3-5, 1, Light Heavyweight, 0
43, LELAND EKDAHL, 3-6-3, 3, Middleweight, 1
44, HERSHEL SANCHEZ, 2-3-5, 2, Middleweight, 1
45, DEANGELO ADAMS, 4-4-5, 4, Lightweight, 0
46, DUSTIN DAVIS, 3-4-1, 3, Lightweight, 1
47, BRETT EISMAN, 6-2-2, 6, Light Heavyweight, 1
48, MICAH GARZA, 3-3-5, 3, Heavyweight, 0
49, QUINTON PAYNE, 1-4-3, 1, Heavyweight, 0
50, LUIS HOLMES, 4-3-2, 4, Welterweight, 0
51, DESHAWN DONLAN, 4-6-2, 4, Welterweight, 0
52, WILLARD MATTHEWS, 6-0-1, 6, Middleweight, 1
53, EMMANUEL HENDERSON, 4-3-2, 4, Light Heavyweight, 0
54, GONZALO MCDONALD, 1-7-2, 1, Light Heavyweight, 1
55, SYLVESTER HOWARD, 4-6-1, 4, Heavyweight, 1
56, STACEY MORGAN, 1-9-1, 1, Heavyweight, 0
57, WESLEY JACKSON, 5-5-0, 5, Welterweight, 1
58, ROLLAND TUCKER, 6-4-1, 6, Lightweight, 0
59, JACKSON PATTERSON, 1-5-2, 1, Light Heavyweight, 0
60, MONTY MAY, 4-4-2, 4, Welterweight, 1
61, CORY DEAN, 5-4-3, 5, Light Heavyweight, 1
62, GRANT BURKE, 6-3-5, 6, Lightweight, 1
63, LOWELL BRYANT, 5-2-0, 5, Lightweight, 1
64, DARIO FELBERBAUM, 4-6-1, 4, Light Heavyweight, 0
65, RUBIN WALLACE, 5-5-2, 5, Welterweight, 0
66, ISAAC WELLS, 3-3-3, 3, Lightweight, 0
67, FLORENTINO HART, 6-7-1, 6, Middleweight, 1
68, BART DEROUIN, 5-7-2, 5, Welterweight, 1
69, OWEN DURIO, 4-1-3, 4, Lightweight, 1
70, WARD WATKINS, 5-4-2, 5, Welterweight, 0
71, ERIC WOOD, 3-3-2, 3, Middleweight, 1
72, EDGARDO DELPINO, 4-2-0, 4, Light Heavyweight, 1
73, DARWIN CARLSON, 3-4-4, 3, Middleweight, 1
74, CHONG FITZHENRY, 10-4-1, 10, Heavyweight, 1
75, TRACEY HART, 4-3-2, 4, Welterweight, 1
76, MINH DANIELS, 4-2-1, 4, Heavyweight, 0
77, VERNON JOHNSTON, 0-2-4, 0, Heavyweight, 1
78, ROBIN TURNER, 2-8-3, 2, Light Heavyweight, 1
79, MICAH STEVENS, 5-0-2, 5, Middleweight, 1
80, HORACIO CHAPMAN, 4-2-2, 4, Lightweight, 0
81, ALONZO HOLLAND, 3-3-0, 3, Middleweight, 0
82, DONNELL FREEMAN, 3-5-0, 3, Lightweight, 1
83, RONALD ROBERTS, 4-3-1, 4, Heavyweight, 0
84, CEDRIC DAVIS, 7-3-1, 7, Light Heavyweight, 0
85, CRISTOBAL ENZ, 2-1-2, 2, Welterweight, 1
86, RANDY WOOD, 3-9-1, 3, Heavyweight, 1
87, DONNELL EAGAR, 4-3-4, 4, Heavyweight, 1
88, LAWERENCE DIMERY, 4-3-3, 4, Lightweight, 0
89, HARLEY GEORGE, 5-3-3, 5, Welterweight, 1
90, ANTIONE CRAWFORD, 5-2-2, 5, Middleweight, 1
91, STEVE SPENCER, 6-4-0, 6, Middleweight, 0
92, CLEMENT MORALES, 2-1-3, 2, Lightweight, 0
93, DARIN DIMMITT, 2-2-2, 2, Heavyweight, 0
94, PHILLIP FAIRES, 3-3-2, 3, Heavyweight, 1
95, LUCIANO ENRIQUES, 2-6-1, 2, Lightweight, 1
96, HOMER MAY, 5-3-2, 5, Heavyweight, 0
97, REX WELLS, 4-4-4, 4, Heavyweight, 0
98, FILIBERTO HANSEN, 5-6-2, 5, Welterweight, 1
99, LUTHER REID, 1-1-2, 1, Lightweight, 0
100, BERNARDO ENRIQUES, 1-6-1, 1, Welterweight, 0
101, LELAND MILLS, 7-2-2, 7, Light Heavyweight, 0
102, DELMAR WEBB, 4-2-4, 4, Heavyweight, 0
103, ROBBY ALVAREZ, 3-3-1, 3, Light Heavyweight, 1
104, ELISHA YOUNG, 3-1-0, 3, Middleweight, 0
105, JACQUES LEWIS, 2-8-1, 2, Heavyweight, 0
106, ERNESTO ALLEN, 3-2-2, 3, Welterweight, 0
107, RON GARCIA, 5-3-4, 5, Middleweight, 0
108, CAMERON MATTHEWS, 4-3-2, 4, Middleweight, 1
109, CAREY WILLIAMSON, 5-5-2, 5, Heavyweight, 0
110, MAURICE RAMIREZ, 4-3-0, 4, Heavyweight, 0
111, LAWERENCE SULLIVAN, 1-2-4, 1, Middleweight, 0
112, QUINN MILLER, 7-4-2, 7, Middleweight, 0
113, LANE COLLINS, 5-2-1, 5, Middleweight, 0
114, WYATT DELUCCA, 5-6-3, 5, Lightweight, 0
115, KEITH ESTRIDGE, 2-9-4, 2, Middleweight, 0
116, ALAN CARTER, 3-7-4, 3, Heavyweight, 0
117, MIKEL FILMORE, 2-5-0, 2, Heavyweight, 0
118, FELIX DEROUIN, 3-4-2, 3, Lightweight, 0
119, OWEN WAGNER, 0-2-5, 0, Middleweight, 0
120, LENARD MYERS, 5-0-3, 5, Middleweight, 0
121, BROCK ANDREWS, 6-11-3, 6, Middleweight, 1
122, JEWELL LITTLE, 6-3-4, 6, Heavyweight, 0
123, SID EDWARDS, 1-2-0, 1, Middleweight, 0
124, OMER HERNANDEZ, 2-5-0, 2, Heavyweight, 1
125, DIRK KIM, 2-2-2, 2, Heavyweight, 0
126, HERIBERTO BROOKS, 2-0-5, 2, Welterweight, 0
127, REED THOMAS, 5-5-6, 5, Light Heavyweight, 1
128, KEN BROOKS, 2-10-2, 2, Lightweight, 1
129, FAUSTO CRUZ, 3-7-3, 3, Light Heavyweight, 1
130, DONTE ROBERTSON, 6-6-2, 6, Lightweight, 0
131, IKE BLACK, 3-0-3, 3, Lightweight, 1
132, ERROL WALKER, 3-2-4, 3, Heavyweight, 0
133, BERNARD GORDON, 8-6-8, 8, Light Heavyweight, 1
134, RODOLFO WILSON, 5-2-1, 5, Heavyweight, 1
135, EZEQUIEL EDWARDS, 1-5-2, 1, Middleweight, 1
136, ROLAND ESSMAN, 5-3-0, 5, Lightweight, 0
137, EMERY DAVIS, 1-4-1, 1, Middleweight, 1
138, DWAIN CARPENTER, 4-3-0, 4, Light Heavyweight, 1
139, ROLF SHAW, 1-5-2, 1, Lightweight, 0
140, BERNARD MOORE, 1-2-1, 1, Heavyweight, 0
141, LUCIANO VASQUEZ, 6-6-1, 6, Welterweight, 0
142, CHARLES RICHARDSON, 5-4-1, 5, Welterweight, 1
143, MICHEAL DIMMITT, 3-6-2, 3, Welterweight, 1
144, EMERY DELPINO, 4-2-4, 4, Welterweight, 1
145, MARCEL GILBERT, 3-2-1, 3, Light Heavyweight, 1
146, JACINTO CAMPBELL, 2-3-0, 2, Lightweight, 1
147, DANIAL HICKS, 1-1-6, 1, Light Heavyweight, 1
148, EMERSON HUNT, 7-7-3, 7, Welterweight, 1
149, ERIC PERRY, 3-2-1, 3, Heavyweight, 1
150, LENARD FERNANDEZ, 0-0-1, 0, Middleweight, 1
151, ROCKY REED, 5-4-4, 5, Middleweight, 0
152, BOOKER VASQUEZ, 4-4-2, 4, Lightweight, 1
153, FRANCESCO GORDON, 3-5-4, 3, Middleweight, 1
154, EDMUNDO DIMERY, 8-5-3, 8, Welterweight, 0
155, DESMOND EVANS, 6-3-1, 6, Light Heavyweight, 0
156, LAVERN BELL, 1-2-3, 1, Lightweight, 0
157, SUNG FITZHENRY, 3-0-2, 3, Lightweight, 1
158, MOSES FINTON, 9-4-5, 9, Welterweight, 0
159, ALPHONSE SHAW, 4-4-3, 4, Light Heavyweight, 0
160, JEFFRY HUNTER, 2-3-3, 2, Light Heavyweight, 0
161, JOSIAH RILEY, 4-5-2, 4, Lightweight, 0
162, RICHIE MURPHY, 3-3-0, 3, Lightweight, 1
163, MALCOLM REYES, 3-6-4, 3, Welterweight, 1
164, CRISTOPHER WELLS, 6-3-1, 6, Heavyweight, 0
165, DORIAN SIMS, 1-5-1, 1, Middleweight, 0
166, DARON TERRY, 4-0-2, 4, Light Heavyweight, 0
167, EDMOND BYRD, 5-2-2, 5, Middleweight, 1
168, ROB GIBSON, 4-0-2, 4, Middleweight, 1
169, JACK JOHNSON, 5-3-2, 5, Welterweight, 1
170, OTHA FOWLER, 4-3-1, 4, Welterweight, 0
171, KENETH DOBROWOLSKI, 2-3-3, 2, Light Heavyweight, 1
172, VINCENZO BLACK, 5-4-2, 5, Welterweight, 1
173, PHIL EAGAR, 9-6-1, 9, Welterweight, 0
174, TRUMAN FITZHENRY, 8-0-3, 8, Light Heavyweight, 0
175, RAYFORD VARGAS, 3-6-0, 3, Middleweight, 0
176, DAN BYRD, 4-4-3, 4, Heavyweight, 0
177, BRYON WASHINGTON, 3-8-0, 3, Welterweight, 0
178, EMMANUEL PETERSON, 5-7-1, 5, Light Heavyweight, 1
179, MOSHE FOX, 3-4-4, 3, Welterweight, 1
180, DAVE STANLEY, 6-1-3, 6, Middleweight, 1
181, CHI CARPENTER, 9-5-3, 9, Light Heavyweight, 0
182, MILLARD RIVERA, 4-4-0, 4, Middleweight, 1
183, KELLEY KNIGHT, 2-3-4, 2, Middleweight, 1
184, ELMO SPENCER, 4-4-4, 4, Heavyweight, 0
185, JONATHAN FILICE, 2-4-2, 2, Heavyweight, 0
186, JEFFRY WILLIAMS, 4-5-2, 4, Lightweight, 1
187, ROSS TURNER, 4-4-0, 4, Middleweight, 0
188, SCOTTY ROMERO, 2-5-1, 2, Heavyweight, 0
189, SCOTTY EDWARDS, 5-8-2, 5, Welterweight, 1
190, SYLVESTER EAGAR, 4-3-0, 4, Welterweight, 1
191, NEIL ROBINSON, 2-3-3, 2, Light Heavyweight, 1
192, ISMAEL GUTIERREZ, 6-2-3, 6, Welterweight, 0
193, KIRBY OLIVER, 8-0-2, 8, Light Heavyweight, 0
194, SCOT LONG, 6-4-2, 6, Heavyweight, 0
195, SALVADOR LOPEZ, 2-5-0, 2, Welterweight, 0
196, RAMIRO FERNANDEZ, 4-4-3, 4, Light Heavyweight, 0
197, DOMENIC FISHBEIN, 6-4-1, 6, Welterweight, 1
198, HAYWOOD GEORGE, 6-6-2, 6, Heavyweight, 1
199, PIERRE FINTON, 5-3-1, 5, Welterweight, 1
200, GUS KNIGHT, 6-5-1, 6, Lightweight, 1
201, ALLAN DURIO, 4-3-0, 4, Heavyweight, 0
202, RUSSELL HOWARD, 2-3-1, 2, Light Heavyweight, 0
203, DEREK FIELDS, 4-6-3, 4, Lightweight, 1
204, HANS RAMIREZ, 3-3-2, 3, Middleweight, 1
205, SAUL ROBERTSON, 4-4-0, 4, Heavyweight, 1
206, GUS BLACK, 6-5-1, 6, Heavyweight, 1
207, DONNIE COLEMAN, 5-2-2, 5, Middleweight, 0
208, GREGORY HENDERSON, 8-3-1, 8, Middleweight, 0
209, PORFIRIO HUNTER, 0-3-0, 0, Lightweight, 1
210, BASIL SOTO, 4-6-2, 4, Heavyweight, 0
211, ALFRED CARR, 2-3-3, 2, Light Heavyweight, 1
212, VANCE JENKINS, 0-5-1, 0, Light Heavyweight, 0
213, DANA ROSE, 4-5-1, 4, Welterweight, 1
214, LINO SOTO, 8-9-2, 8, Welterweight, 0
215, RANDELL ESTRIDGE, 8-5-1, 8, Lightweight, 1
216, AUGUSTINE KIM, 4-4-2, 4, Middleweight, 1
217, WALKER LARSON, 6-5-3, 6, Heavyweight, 0
218, ANTONE WASHINGTON, 6-0-2, 6, Lightweight, 0
219, ERIC EISMAN, 6-4-4, 6, Middleweight, 0
220, RILEY SULLIVAN, 3-5-2, 3, Lightweight, 1
221, LOGAN MEDINA, 3-5-3, 3, Heavyweight, 1
222, DANA MITCHELL, 8-3-3, 8, Heavyweight, 0
223, ALLAN ROSS, 2-3-1, 2, Heavyweight, 1
224, JUDE MURPHY, 3-3-1, 3, Heavyweight, 0
225, MERLE JENSEN, 2-2-0, 2, Heavyweight, 0
226, MARCELO FLORES, 1-2-2, 1, Lightweight, 0
227, RONALD PALMER, 2-5-2, 2, Light Heavyweight, 1
228, CLIFFORD KELLEY, 8-2-1, 8, Welterweight, 0
229, CLAY HAYES, 2-5-3, 2, Middleweight, 1
230, MAURICE LYNCH, 2-9-0, 2, Lightweight, 1
231, FREDDIE CARTER, 7-3-3, 7, Welterweight, 0
232, ISREAL GONZALEZ, 5-3-5, 5, Heavyweight, 1
233, RONNIE DIMERY, 5-2-1, 5, Light Heavyweight, 0
234, ERASMO FREEMAN, 4-4-5, 4, Heavyweight, 0
235, BRANDEN DRESHER, 4-4-4, 4, Light Heavyweight, 1
236, FLORENTINO WAGNER, 3-4-4, 3, Lightweight, 1
237, EMERY MARTINEZ, 5-3-4, 5, Light Heavyweight, 1
238, CLEVELAND MAY, 3-8-3, 3, Welterweight, 0
239, NATHANIAL DILULLO, 1-3-0, 1, Lightweight, 1
240, JIMMY LITTLE, 1-5-2, 1, Heavyweight, 0
241, ROLAND THOMAS, 4-9-0, 4, Heavyweight, 0
242, WILLY ADAMS, 7-4-2, 7, Light Heavyweight, 1
243, GAVIN COLEMAN, 2-4-0, 2, Heavyweight, 0
244, CLAIR DEVEAUX, 1-2-2, 1, Welterweight, 0
245, JULIAN MURRAY, 5-1-4, 5, Heavyweight, 0
246, ORVILLE CHAPMAN, 3-5-0, 3, Heavyweight, 1
247, HILTON ORTIZ, 1-4-1, 1, Light Heavyweight, 1
248, MERLIN MARSHALL, 3-7-3, 3, Middleweight, 0
249, STEVE DUDAS, 3-2-2, 3, Heavyweight, 0
250, WYATT FISHBEIN, 1-4-2, 1, Heavyweight, 0
251, JASPER DESAUTELS, 6-5-2, 6, Heavyweight, 1
252, THOMAS ARNOLD, 2-3-2, 2, Heavyweight, 0
253, LAUREN PERRY, 2-2-1, 2, Welterweight, 1
254, JAYSON DESAUTELS, 4-2-2, 4, Heavyweight, 0
255, GEORGE PETERS, 0-4-3, 0, Lightweight, 0
256, RODRICK MEDINA, 5-5-1, 5, Lightweight, 1
257, ALPHONSE BOYD, 3-1-3, 3, Light Heavyweight, 1
258, GENARO SIMS, 3-6-1, 3, Heavyweight, 0
259, JAMEY EAKLE, 1-3-1, 1, Light Heavyweight, 1
260, GERALD LARSON, 5-5-1, 5, Heavyweight, 1
261, JOE HERRERA, 6-2-1, 6, Light Heavyweight, 0
262, NOEL COOK, 5-6-2, 5, Welterweight, 0
263, ODELL OLIVER, 5-3-2, 5, Middleweight, 0
264, GERARDO PHILLIPS, 7-3-5, 7, Middleweight, 0
265, ELDRIDGE FARRAH, 6-3-4, 6, Welterweight, 0
266, FEDERICO JONES, 4-2-4, 4, Light Heavyweight, 1
267, GARTH KELLEY, 5-6-3, 5, Middleweight, 0
268, JIM EKKER, 5-2-3, 5, Light Heavyweight, 1
269, KENDRICK DERBYSHIRE, 4-3-4, 4, Light Heavyweight, 1
270, NORRIS PETERSON, 3-7-1, 3, Lightweight, 0
271, HAYDEN HOFFMAN, 6-6-2, 6, Welterweight, 1
272, ELLIS FLEMING, 4-1-2, 4, Middleweight, 1
273, HORACIO MORENO, 2-5-3, 2, Light Heavyweight, 1
274, KIETH BYRD, 4-2-0, 4, Heavyweight, 1
275, WILLY EKDAHL, 2-1-0, 2, Lightweight, 1
276, LAUREN CHAVEZ, 4-3-3, 4, Light Heavyweight, 0
277, DONOVAN FARRAH, 4-5-3, 4, Middleweight, 0
278, DIRK DIMERY, 4-7-4, 4, Heavyweight, 1
279, IGNACIO LANE, 6-1-4, 6, Lightweight, 0
280, EMILIO HAYES, 0-5-0, 0, Middleweight, 0
281, DENVER WILLIAMS, 6-2-2, 6, Welterweight, 0
282, ELVIS WEST, 2-0-3, 2, Middleweight, 1
283, NOEL ANDERSON, 2-2-4, 2, Middleweight, 1
284, LUIS WATKINS, 5-4-1, 5, Heavyweight, 1
285, TOBY RICHARDS, 6-5-2, 6, Welterweight, 1
286, WILFORD DOMKE, 3-4-2, 3, Lightweight, 0
287, REX GIBSON, 1-2-1, 1, Lightweight, 0
288, BRET PRICE, 1-6-2, 1, Middleweight, 0
289, CLETUS CHAVEZ, 4-4-1, 4, Middleweight, 1
290, SANFORD GEORGE, 1-5-1, 1, Middleweight, 0
291, RUEBEN REYNOLDS, 5-5-1, 5, Welterweight, 0
292, WENDELL PORTER, 4-4-0, 4, Middleweight, 0
293, DESMOND EKKER, 3-8-3, 3, Welterweight, 1
294, DIEGO WAGNER, 3-6-1, 3, Lightweight, 1
295, CLARK LONG, 3-2-2, 3, Heavyweight, 1
296, NICK BAILEY, 5-4-1, 5, Lightweight, 0
297, OLLIE HERRERA, 7-7-4, 7, Middleweight, 1
298, ALBERT SIMPSON, 3-3-4, 3, Lightweight, 0
299, DARRON RICHARDS, 1-3-4, 1, Middleweight, 1
300, WILLY BISHOP, 1-1-5, 1, Lightweight, 0
301, LEN BOYD, 4-4-1, 4, Light Heavyweight, 0
302, WILMER VASQUEZ, 5-5-1, 5, Heavyweight, 1
303, SANTO JENKINS, 3-2-2, 3, Light Heavyweight, 0
304, ERIC FASCIANO, 5-0-1, 5, Welterweight, 1
305, MOSES JOHNSON, 1-7-0, 1, Middleweight, 1
306, STEFAN EAKLE, 1-8-1, 1, Welterweight, 0
307, GORDON GRIFFIN, 5-3-3, 5, Welterweight, 0
308, CLEVELAND GILBERT, 7-2-1, 7, Lightweight, 1
309, ULYSSES MILLER, 2-3-1, 2, Lightweight, 1
310, CHRIS FRANKLIN, 2-3-2, 2, Welterweight, 1
311, EMMANUEL MARSHALL, 4-2-0, 4, Middleweight, 1
312, ERNESTO DIAZ, 5-5-0, 5, Lightweight, 0
313, ALEXANDER MEDINA, 2-6-0, 2, Middleweight, 1
314, JUDSON ROBERTSON, 5-4-2, 5, Welterweight, 1
315, DEVIN CARLSON, 5-2-0, 5, Middleweight, 0
316, BENNETT MARTIN, 1-1-8, 1, Welterweight, 1
317, JOHNNY SCOTT, 3-5-0, 3, Middleweight, 1
318, LIONEL LAWRENCE, 6-2-1, 6, Heavyweight, 0
319, ADRIAN SNYDER, 3-4-2, 3, Middleweight, 1
320, MALCOM DUENES, 1-4-3, 1, Middleweight, 1
321, LONNY TURNER, 4-4-2, 4, Lightweight, 0
322, ZACKARY DUDAS, 4-4-2, 4, Welterweight, 0
323, BRENDAN SIMPSON, 5-6-2, 5, Light Heavyweight, 1
324, TRENTON WHEELER, 4-5-2, 4, Lightweight, 0
325, SAL ALVAREZ, 2-6-1, 2, Light Heavyweight, 0
326, LUIGI BOWMAN, 4-2-1, 4, Heavyweight, 0
327, DEMETRIUS RICHARDS, 3-2-0, 3, Heavyweight, 1
328, ISSAC BOWMAN, 8-6-4, 8, Lightweight, 1
329, CARLOS ESTRIDGE, 5-2-0, 5, Middleweight, 1
330, LYMAN HENDERSON, 3-3-2, 3, Heavyweight, 1
331, FAUSTINO REED, 6-3-3, 6, Lightweight, 0
332, FRANKLYN WOOD, 4-2-1, 4, Lightweight, 1
333, OTHA LEWIS, 6-5-1, 6, Middleweight, 0
334, DEON FAIRES, 6-4-1, 6, Welterweight, 1
335, DWIGHT HAYES, 6-2-1, 6, Heavyweight, 0
336, BARNEY WOOD, 3-0-2, 3, Lightweight, 0
337, CRISTOBAL SIMS, 5-7-1, 5, Lightweight, 0
338, JIM TURNER, 2-5-1, 2, Heavyweight, 0
339, CARMELO SMITH, 7-7-4, 7, Welterweight, 0
340, HUBERT STONE, 2-2-3, 2, Heavyweight, 0
341, REED DEVEAUX, 4-6-1, 4, Welterweight, 1
342, FLORENCIO HANSON, 4-6-0, 4, Middleweight, 0
343, JACQUES NELSON, 6-6-2, 6, Light Heavyweight, 0
344, BUD DIXON, 2-4-3, 2, Lightweight, 0
345, REID FAUSNAUGHT, 4-5-3, 4, Heavyweight, 1
346, OSCAR BOYD, 7-5-2, 7, Middleweight, 1
347, GUILLERMO HARRIS, 5-3-2, 5, Light Heavyweight, 0
348, DARIO FILICE, 1-4-4, 1, Lightweight, 1
349, HOSEA HAYES, 3-5-1, 3, Lightweight, 1
350, MARQUIS EDDINGER, 5-2-6, 5, Welterweight, 1
351, TUAN PERKINS, 0-0-3, 0, Lightweight, 1
352, JARRED WEBB, 4-2-0, 4, Middleweight, 0
353, MARGARITO WRIGHT, 5-5-1, 5, Light Heavyweight, 1
354, MAX ARNOLD, 1-4-0, 1, Lightweight, 0
355, MICHEAL EDDINGER, 4-1-4, 4, Light Heavyweight, 0
356, GLENN PAYNE, 7-5-1, 7, Middleweight, 0
357, DANA FORD, 2-2-5, 2, Middleweight, 1
358, HANK BENNETT, 8-6-4, 8, Middleweight, 1
359, GALEN GIBSON, 5-3-3, 5, Welterweight, 1
360, GRAIG FERNANDEZ, 2-2-1, 2, Heavyweight, 0
361, FELIX LANE, 5-6-1, 5, Middleweight, 1
362, JACOB KNIGHT, 3-5-4, 3, Welterweight, 1
363, RICK TERRY, 4-6-2, 4, Heavyweight, 0
364, DAMIAN BOYD, 2-3-3, 2, Middleweight, 0
365, STEFAN STONE, 3-4-2, 3, Welterweight, 1
366, NICOLAS KIM, 2-6-2, 2, Middleweight, 0
367, DEON BOWMAN, 2-4-3, 2, Lightweight, 0
368, FREDDIE OLSON, 5-1-2, 5, Middleweight, 1
369, IAN SPENCER, 8-6-2, 8, Heavyweight, 0
370, PHILLIP GRAY, 4-7-1, 4, Middleweight, 0
371, REYNALDO LYNCH, 0-4-1, 0, Heavyweight, 0
372, SONNY DEVEAUX, 10-3-2, 10, Light Heavyweight, 1
373, ED HARRIS, 3-5-3, 3, Light Heavyweight, 0
374, THURMAN GRAHAM, 6-4-0, 6, Heavyweight, 0
375, JOHNIE MORRISON, 5-4-2, 5, Welterweight, 0
376, ALPHONSO STANLEY, 2-5-0, 2, Lightweight, 1
377, MANUAL WASHINGTON, 10-4-1, 10, Light Heavyweight, 0
378, REGINALD PORTER, 5-0-3, 5, Middleweight, 0
379, DARYL MITCHELL, 1-4-3, 1, Lightweight, 0
380, JERROD WHITE, 5-3-2, 5, Middleweight, 1
381, TITUS CASTILLO, 1-7-1, 1, Light Heavyweight, 1
382, MASON PALMER, 9-4-4, 9, Middleweight, 0
383, ZACK GUTIERREZ, 7-7-1, 7, Welterweight, 0
384, CECIL GONZALEZ, 4-2-1, 4, Light Heavyweight, 1
385, PRINCE PETERS, 1-4-6, 1, Light Heavyweight, 0
386, FREDDIE MORALES, 9-3-0, 9, Light Heavyweight, 0
387, MATTHEW DENA, 6-6-2, 6, Welterweight, 0
388, FREDERIC ROBERTS, 8-5-4, 8, Lightweight, 1
389, GENARO DEVALLE, 4-3-0, 4, Middleweight, 1
390, HUNTER NELSON, 0-2-4, 0, Welterweight, 1
391, GREGG HAYES, 3-4-1, 3, Middleweight, 0
392, WILLIAN MARTINEZ, 2-6-2, 2, Lightweight, 0
393, LAMONT TERRY, 5-3-0, 5, Light Heavyweight, 1
394, JAMES RICHARDS, 3-3-2, 3, Welterweight, 0
395, EARL DANIELS, 3-3-2, 3, Lightweight, 1
396, JACK DOBROWOLSKI, 7-2-1, 7, Middleweight, 0
397, RICK OWENS, 3-2-5, 3, Light Heavyweight, 1
398, SANTOS HARPER, 4-8-2, 4, Welterweight, 1
399, MATT AUSTIN, 4-4-2, 4, Lightweight, 1
400, CLEMENT PERKINS, 5-4-3, 5, Heavyweight, 0
401, JERROD FILICE, 3-2-2, 3, Welterweight, 1
402, FRANCISCO CARR, 4-5-2, 4, Light Heavyweight, 1
403, CLEVELAND SCHMIDT, 7-6-1, 7, Middleweight, 1
404, SID GREEN, 5-1-1, 5, Light Heavyweight, 1
405, OLIVER ROGERS, 6-1-2, 6, Heavyweight, 0
406, DELMER DELUCCA, 4-1-4, 4, Middleweight, 0
407, OSWALDO FEOLA, 3-4-3, 3, Light Heavyweight, 1
408, ELLSWORTH GRANT, 6-2-1, 6, Lightweight, 0
409, BUFORD BURKE, 5-2-4, 5, Lightweight, 0
410, MYLES FAIRES, 10-2-1, 10, Light Heavyweight, 0
411, JULIAN DUNN, 2-1-3, 2, Heavyweight, 0
412, ALFONSO FARRAH, 10-7-2, 10, Light Heavyweight, 1
413, EDMOND TURNER, 6-3-1, 6, Middleweight, 0
414, LARRY PETERS, 5-12-0, 5, Welterweight, 1
415, ORLANDO SILVA, 6-4-3, 6, Middleweight, 1
416, BARRETT JACOBS, 5-7-0, 5, Light Heavyweight, 1
417, JOSIAH TORRES, 5-2-0, 5, Heavyweight, 1
418, JEROME DINGEE, 7-4-3, 7, Light Heavyweight, 0
419, ANDRE PRICE, 1-3-1, 1, Lightweight, 0
420, HAL CLARK, 7-6-0, 7, Lightweight, 0
421, SAL PETERSON, 5-4-2, 5, Heavyweight, 0
422, MILFORD HOWARD, 4-3-2, 4, Lightweight, 0
423, JESSE RYAN, 10-4-1, 10, Heavyweight, 0
424, MILLARD HUNTER, 4-3-1, 4, Lightweight, 1
425, MIKEL SPENCER, 0-2-1, 0, Lightweight, 1
426, JOSEPH ARMSTRONG, 1-4-2, 1, Middleweight, 1
427, DONG DENMON, 1-2-2, 1, Middleweight, 1
